chrom	bgen_dxid	bgen_index_dxid	sample_dxid	vep_dxid	vep_index_dxid
1	file-GFz4Y88J77ZJ0g8k4qxv290X	file-GFz4Yv0J77Z9JJ8J4pVvPPpY	file-GFz4Yx0J77Z6Qf2p4xV3PZXK	file-GFz4YxjJ77Z4jZ244x0pBpxX	file-GFz4YyjJ77ZG298z4vB9bk08
19	file-GFz4428J2vf2JK584vxZ5Y3p	file-GFz44GQJ2vf0Kb0G4pFbQyy4	file-GFz44JjJ2vf35QJq4q59gZ79	file-GFz44K8J2vf2JK584vxZ5Y4Q	file-GFz44P0J2vfGpk1p4pKxVB1V
16	file-GFz428QJ2QpQKb0G4pFbQyk2	file-GFz42Q8J2Qpv30fz4pGZJXGP	file-GFz42V0J2Qpz56Vb4p8qzfjP	file-GFz42VQJ2QpgjpQV4x5FY1G3	file-GFz42X8J2QpjJzgq4v1pF9YY
2	file-GFz3QpQJJfkY5QJq4q59fz4q	file-GFz3V98JJfkzVvyj4qqJ4jZ9	file-GFz3VB0JJfkfx00Y4qy7pQk9	file-GFz3VBjJJfkqXQg74qjFB3Yk	file-GFz3VFQJJfkjJzgq4v1pBZkq
10	file-GFz3FxQJbfKx0g8k4qxv0xFb	file-GFz3G58JbfKfQf2p4xV3J179	file-GFz3G5jJbfKfQf2p4xV3J17F	file-GFz3G6QJbfKQKxZQ4v60j0Yp	file-GFz3G70JbfKkff3Q4xvXv77q
15	file-GFz301jJ54FXQxJy4q7kKvVz	file-GFz308jJ54FpzBJy4v8Y0Yq7	file-GFz309QJ54FxQ2k44v0jjKqp	file-GFz30B0J54FXKQ5z4qqQJBF5	file-GFz30BjJ54FXBvzQ4pXKqv9F
11	file-GFz2kGjJjQY6Qf2p4xV3Gz58	file-GFz2kg0JjQY790v14pqPq4fX	file-GFz2kgQJjQYBY0V74pbPvFB4	file-GFz2kj8JjQYB10gf4vB21V4q	file-GFz2kjjJjQYP9pBq4xjvBP8Y
3	file-GFz2jJQJGkbfFX564vgxb51v	file-GFz2jkQJGkbqQ3804qkVB5fV	file-GFz2jp8JGkbZjZ244x0p9zg5	file-GFz2jpjJGkbpY0V74pbPvBzG	file-GFz2jqQJGkbYB9B6528X3F3J
20	file-GFz2YKjJ8BJjJzgq4v1pBV1Y	file-GFz2YYQJ8BJbP6Bf4v7y2KQP	file-GFz2YZ8J8BJvpk1p4pKxQVBj	file-GFz2YZjJ8BJby9y94q5gB4jv	file-GFz2YbQJ8BJQv6FK4vYbXvy1
17	file-GFz2FG0JgQ0g7gV94pzQF5Vz	file-GFz2FbjJgQ0jg4z04qP2xpkz	file-GFz2FfQJgQ0yz1j44xYvx8B7	file-GFz2Fg0JgQ0VFz8x4pKJz2Kx	file-GFz2FgjJgQ0bP6Bf4v7y2J5Z
6	file-GFz27y8J0Y8qb72j4pkG3Jbz	file-GFz288QJ0Y8jg4z04qP2xpGy	file-GFz2898J0Y8Qv6FK4vYbXpPB	file-GFz289jJ0Y8y246Q4qQvPx2Y	file-GFz28BQJ0Y8Xj79G4q4By0BB
12	file-GFz23g8JJbQQKxZQ4v60gpZ8	file-GFz2420JJbQqkz7q4vV1zvjz	file-GFz242jJJbQx0g8k4qxv0gzk	file-GFz2438JJbQf351J4pf63681	file-GFz2440JJbQz9pBq4xjvBFKz
4	file-GFz20YjJkj6XQxJy4q7kKfPz	file-GFz20vjJkj6fFX564vgxb2g0	file-GFz20xQJkj6qQ3804qkVB2x2	file-GFz20y0Jkj6vpk1p4pKxQKz1	file-GFz20yjJkj6f4YzX4p6P51jG
7	file-GFz1xJ0J3jq9y5pY4v4z4gZv	file-GFz1xg8J3jq2XzK94pFX2z22	file-GFz1xj0J3jq62Xv34pK4FB7z	file-GFz1xjQJ3jqGpk1p4pKxQKg4	file-GFz1xk0J3jqKz1j44xYvx6kP
5	file-GFz1g7jJBV0VG0qP4pGy4v20	file-GFz1gV0JBV0kV7zG4qQBzx9z	file-GFz1gVjJBV0qkz7q4vV1zq9p	file-GFz1gX8JBV0XJK584vxZ4bYK	file-GFz1gY0JBV0gX4xp4vFJ7pG0
9	file-GFz1Xj8JK3BqQ3804qkVB1Fp	file-GFz1Y18JK3ByYfzf4qv5yGyB	file-GFz1Y1jJK3Bvpk1p4pKxQGqq	file-GFz1Y2QJK3Bfx00Y4qy7p8bv	file-GFz1Y30JK3Bx8zj352FZJGYy
8	file-GFz1VZ8JQQVX87g74qjj7XF8	file-GFz1VqQJQQVf351J4pf633YP	file-GFz1Vv8JQQVk1KK64vG79QY7	file-GFz1VvjJQQVXXzK94pFX2xvZ	file-GFz1Vx8JQQVgX4xp4vFJ7kfv
14	file-GFz1750J53Q21kB24qf48G6K	file-GFz17BjJ53QBY0V74pbPv6Xj	file-GFz17FQJ53Q21kB24qf48G6q	file-GFz17G0J53Q77gV94pzQF1xz	file-GFz17GjJ53Q09yKg4pVXF5F6
X	file-GFz0z2jJJ8qg811x4v4Qj295	file-GFz0zfjJJ8qV0Pp44qxKg82v	file-GFz0zg8JJ8qZjZ244x0p9kPK	file-GFz0zgjJJ8qpV0XX4qxpfBX1	file-GFz0zjQJJ8qQv6FK4vYbXg99
22	file-GFz0jfjJQjfPybv74v2Gj1fk	file-GFz0jq8JQjf64YzX4p6P4yJ9	file-GFz0jv0JQjf447Xp4qj7VQYG	file-GFz0jvQJQjf77bGf4qBb4y1f	file-GFz0jx0JQjfPybv74v2Gj1fz
18	file-GFz0Z78JK92zY1YZ4pxGKyyY	file-GFz0ZFQJK92v30fz4pGZJ85p	file-GFz0ZG0JK92y246Q4qQvPgVK	file-GFz0ZGQJK92kX60P4ppVQpg3	file-GFz0ZJ8JK92g6Gz94v14ZjZk
21	file-GFz0XK8JFpJk3FGy4qV4b76F	file-GFz0XV0JFpJYJ34751jvyyq1	file-GFz0XVQJFpJp1bQz4x9Z41GG	file-GFz0XX0JFpJyYfzf4qv5yF20	file-GFz0XXQJFpJkX60P4ppVQpbf
13	file-GFz0QvQJY05BY0V74pbPv3g4	file-GFz0V1QJY05G298z4vB9YV3F	file-GFz0V28JY05B10gf4vB219Pk	file-GFz0V2jJY05FJqq54q996pbY	file-GFz0V38JY057B5fb4xX8GX6Q
Y	file-GFyzg68JVf3Qv6FK4vYbXY9y	file-GFyzg78JVf3gjpQV4x5FXYxx	file-GFyzg7jJVf3f2Xv34pK4F3pZ	file-GFyzg88JVf3XBvzQ4pXKqZY4	file-GFyzg8jJVf3p1bQz4x9Z3xP9
